City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,10,Morehead,US,75.2,clear sky,37.27,-87.18,CCI Express Inn
7,22,Atuona,PF,79.72,clear sky,-9.8,-139.03,Villa Enata
8,23,Kapaa,US,73.4,heavy intensity rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,28,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
11,29,Luganville,VU,77.72,light rain,-15.53,167.17,The Espiritu Hotel
16,42,Oussouye,SN,77.0,overcast clouds,12.48,-16.55,Auberge du Routard
17,44,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,47,Rikitea,PF,72.3,clear sky,-23.12,-134.97,Pension Maro'i
19,50,Suwalki,PL,77.09,light rain,54.11,22.93,Hotel Szyszko
20,54,Sfantu Gheorghe,RO,77.0,light rain,45.87,25.78,Hotel Park Sfantu Gheorghe
21,56,Pringsewu,ID,74.59,light rain,-5.36,104.97,Urban Style by Front One
23,61,Puerto Ayora,EC,72.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
26,66,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
27,72,Bredasdorp,ZA,73.4,clear sky,-34.53,20.04,Bredasdorp Country Manor
28,73,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
30,78,Ponta Do Sol,PT,72.0,scattered clouds,32.67,-17.1,Hotel do Campo
31,80,East London,ZA,78.8,clear sky,-33.02,27.91,Tu Casa
32,81,Satipo,PE,79.63,overcast clouds,-11.25,-74.64,Hotel Mayros
34,85,Poum,NC,70.68,clear sky,-20.23,164.02,Gîte kajeon
35,87,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
36,91,Labuhan,ID,77.43,few clouds,-6.88,112.21,bador sepret
39,96,Lufkin,US,75.2,broken clouds,31.34,-94.73,Courtyard by Marriott Lufkin
43,105,Saint-Philippe,RE,73.4,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
45,117,Katsuura,JP,72.0,light rain,35.13,140.3,Katsuura Hilltop Hotel & Residence
